line_no,line_name,position,site_name_ko,site_name_en,road_address,latitude,longitude,diocese,iljumun,iljumun_name,geumgangmun,geumgangmun_name,cheonwangmun,cheonwangmun_name,bulimun,bulimun_name,pagoda,pagoda_name,main_hall_name,annex_halls,parking_info,access_info,meal_available,flower_badge,sources
1,서울 케데헌,1,미타사,Mitasa Temple,서울 성북구 보문사길 6-16,,,조계종 직할교구,?,,?,,?,,?,,?,,대웅전,미확인,미확인,도심 진입,미확인,미확인,성북구청아카이브
1,서울 케데헌,2,흥천사,Heungcheonsa Temple,서울 성북구 흥천사길(돈암동 595),,,조계종 직할교구,?,,N,,?,,?,,?,,극락보전,명부전·삼성각·대방,미확인,정릉역서 약1km,미확인,미확인,국가유산포털;서울시미디어허브
1,서울 케데헌,3,청룡사,Cheongnyongsa Temple,서울 종로구 낙산길 202-13,,,조계종 직할교구,?,,N,,?,,Y,우화루,?,,대웅전,심검당·정업원,미확인,낙산 진입,미확인,미확인,종로구관광
1,서울 케데헌,4,개운사,Gaeunsa Temple,서울 성북구 개운사길(안암동5가),,,조계종 직할교구,Y,개운사 일주문,?,,?,,?,,?,,대웅전,지장전·칠성전·독성각·종각,사찰방문 무료·볼일 유료,고려대 인근 100m,미확인,미확인,한국민족문화대백과;리뷰타임스
1,서울 케데헌,5,조계사,Jogyesa Temple,서울 종로구 우정국로 55,,,조계종 직할교구 총본산,Y,조계사 일주문(사천왕상),N,,N,,?,,Y,8각10층석탑,대웅전,극락전·관음전·범종루,도심 협소,인사동 인접 평지,사찰음식·문화프로그램,국화(가을),국가유산포털;나무위키
2,서울 비연계,1,삼천사,Samcheonsa Temple,서울 은평구 연서로54길 127,,,조계종 직할교구,?,,?,,?,,?,,?,,대웅보전,산령각,미확인,삼천교~계곡길,미확인,미확인,법보신문;향기로운불교
2,서울 비연계,2,진관사,Jingwansa Temple,서울 은평구 진관길 73,,,조계종 직할교구,Y,진관사 일주문,?,,?,,Y,홍제루,Y,오층석탑,대웅전,명부전·나한전·독성전·칠성각·종각,미확인,연신내역 버스 진관사입구,사찰음식·템플스테이,미확인,한국민족문화대백과;구석구석
2,서울 비연계,3,법룡사,Beomnyongsa Temple,미확인(강남구),,,미확인,?,,?,,?,,?,,?,,미확인,미확인,미확인,미확인,사찰음식 특화(2014),미확인,미확인(현장실사)
2,서울 비연계,4,금선사,Geumseonsa Temple,서울 종로구 비봉길 137(구기동),,,조계종 직할교구,Y,삼각산 금선사 일주문,?,,N,,Y,해탈문(108계단),?,,대적광전,삼성각·미타전·연화당·반야전·종각,미확인,비봉코스 초입,템플스테이,미확인,금선사템플스테이;구석구석
2,서울 비연계,5,길상사,Gilsangsa Temple,서울 성북구 선잠로5길 68,,,조계종 직할교구,?,,N,,?,,?,,?,,극락전,지장전·설법전(미확인),미확인,성북동 진입,미확인,미확인,길상사 일반자료(약함)
3,경기 남부,1,수도사,Sudosa Temple,미확인(평택시),,,미확인,?,,?,,?,,?,,?,,미확인,미확인,미확인,미확인,미확인,미확인,미확인(현장실사)
3,경기 남부,2,봉녕사,Bongnyeongsa Temple,경기 수원시 팔달구 창룡대로 236-54(우만동 248),,,조계종 제2교구 용주사 말사,Y,봉녕사 일주문,N,,?,,Y,범종루/우화궁,Y,석가탑·다보탑형 쌍탑,대적광전,약사전·용화각·범종루·청운당,주차 넓음,버스 봉녕사입구 도보12분,사찰음식,매화·목련(봄),구석구석;나무위키;biguni
3,경기 남부,3,용주사,Yongjusa Temple,경기 화성시 용주로 136(송산동 188),,,조계종 제2교구 본사,Y,용주사 일주문,?,삼문(三門),?,,Y,천보루,Y,오층석탑,대웅보전,지장전·범종각·천보루,주차 가능,평지,미확인,미확인,국가유산포털;용주사공식
3,경기 남부,4,신륵사,Silleuksa Temple,경기 여주시 신륵사길 73(천송동),,,조계종 제2교구 용주사 말사,Y,신륵사 일주문,N,,N,,Y,구룡루,Y,다층전탑(보물226)·다층석탑(보물225),극락보전,조사당·명부전·삼성각·구룡루,주차 가능,남한강변,미확인,미확인,국가유산포털;여주시사
3,경기 남부,5,칠장사,Chiljangsa Temple,경기 안성시 죽산면 칠장로 399-18,,,조계종 제2교구 용주사 말사,Y,칠장사 일주문,N,,Y,천왕문(소조사천왕상),?,,?,,대웅전(보물2036),명부전·나한전,주차장 있음,일주문~천왕문 계단,미확인,미확인,국가유산포털;여행스케치
4,경기 북부,1,봉선사,Bongseonsa Temple,경기 남양주시 진접읍 봉선사길 32(부평리),,,조계종 제25교구 본사,Y,봉선사 일주문,N,,N,,Y,청풍루,Y,오층탑,큰법당(대웅전),관음전·지장전·삼성각·조사전·범종각,주차 가능,광릉숲 인접,미확인,미확인,디지털남양주문화대전
4,경기 북부,2,흥국사(남양주),Heungguksa Temple (Namyangju),미확인(남양주시),,,조계종 제25교구 봉선사 말사,?,,?,,?,,?,,?,,대웅전(추정),미확인,미확인,미확인,미확인,미확인,미확인(현장실사)
4,경기 북부,3,회암사,Hoeamsa Temple,미확인(양주시 회암동),,,조계종 제25교구 봉선사 말사,?,,?,,?,,?,,?,,대웅전(추정),미확인,미확인,회암사지 위쪽,미확인,미확인,미확인(현장실사)
4,경기 북부,4,자재암,Jajaeam Temple,경기 동두천시 평화로2910번길 406-33,,,조계종 제25교구 봉선사 말사,Y,자재암 일주문,N,,N,,Y,해탈문,?,,대웅전,삼성각·나한전,미확인,원효폭포~108계단,미확인,소요산 단풍(가을),위키;중부일보
4,경기 북부,5,보광사,Bogwangsa Temple,경기 파주시 광탄면 보광로474번길 87,,,조계종 제25교구 봉선사 말사,Y,보광사 일주문,?,,?,,Y,만세루(추정),?,,대웅보전,나한전·산신각·범종각,주차 가능,됫박고개 숲길,미확인,미확인,국가유산포털;구석구석
5,경기 서부,1,전등사,Jeondeungsa Temple,인천 강화군 길상면 온수길(전등사),,,조계종 직할교구,N,,N,,N,,Y,대조루,?,,대웅보전(보물178),약사전·명부전·삼성각·향로전·강설당·종각,주차장 2곳,삼랑성 동문/남문,미확인,미확인,국가유산포털;전등사공식
5,경기 서부,2,정수사,Jeongsusa Temple,인천 강화군 화도면(마니산),,,조계종 직할교구,?,,?,,?,,?,,?,,대웅보전(법당 보물161),삼성각(미확인),미확인,마니산 등산로,미확인,미확인,국가유산포털
5,경기 서부,3,백련사(강화),Baengnyeonsa Temple (Ganghwa),인천 강화군 하점면(고려산),,,조계종 직할교구,?,,?,,?,,?,,?,,극락전,삼성각,미확인,고려산 진입,미확인,진달래(4월),코야컬처(약함)
5,경기 서부,4,문수사(김포),Munsusa Temple (Gimpo),미확인(김포시 문수산),,,미확인,?,,?,,?,,?,,?,,미확인,미확인,미확인,문수산성 인근,미확인,미확인,미확인(현장실사)
5,경기 서부,5,용궁사(영종도),Yonggungsa Temple (Yeongjongdo),인천 중구 운남동(백운산),,,조계종 직할교구,?,,N,,N,,?,,N,,관음전,용황각·칠성각·요사채,미확인,백운산 진입,미확인,미확인,위키;국가유산포털
6,부울경,1,장안사,Jangansa Temple,미확인(부산 기장군),,,조계종 제14교구 범어사 말사(추정),?,,?,,?,,?,,?,,대웅전(추정),미확인,미확인,미확인,미확인,미확인,미확인(현장실사)
6,부울경,2,운수사,Unsusa Temple,미확인(부산 사상구),,,조계종 제14교구 범어사 말사,?,,?,,?,,?,,?,,대웅전(보물1896),미확인,미확인,미확인,미확인,미확인,국가유산포털
6,부울경,3,마하사,Mahasa Temple,미확인(부산 연제구 금련산),,,조계종 제14교구 범어사 말사,?,,?,,?,,?,,?,,대웅전,나한전(응진전),미확인,금련산 진입,미확인,미확인,부산다봄
6,부울경,4,홍법사,Hongbeopsa Temple,미확인(부산 금정구 두구동),,,미확인,?,,?,,?,,?,,?,,대웅전(추정),미확인,미확인,미확인,미확인,미확인,미확인(현장실사)
6,부울경,5,석남사,Seongnamsa Temple,미확인(울산 울주군 가지산),,,조계종 제15교구 통도사 말사,Y,석남사 일주문,?,,?,,Y,침계루,Y,삼층석탑,대웅전,극락전·조사전·명부전·심검당·침계루,미확인,가지산 등산로,미확인,미확인,구석구석;위키
7,경남,1,다솔사,Dasolsa Temple,미확인(사천시 봉명산),,,조계종 제15교구 통도사 말사,?,,N,,N,,Y,대양루,?,,적멸보궁(불상없음),응진전,미확인,봉명산 진입,미확인,미확인,국가유산디지털서비스
7,경남,2,금수암,Geumsuam Temple,미확인(산청군),,,미확인,?,,?,,?,,?,,?,,미확인,미확인,미확인,미확인,사찰음식 특화(2011),미확인,미확인(현장실사)
7,경남,3,대원사(산청),Daewonsa Temple (Sancheong),경남 산청군 삼장면 대원사길 455,35.355,127.807,조계종 제12교구 해인사 말사,Y,대원사 일주문,N,,?,,Y,봉상루,Y,다층석탑(보물1112·8층),대웅전,천광전·원통보전·범종각·사리전,미확인,유평계곡,미확인,미확인,위키;국가유산포털
7,경남,4,쌍계사,Ssanggyesa Temple,경남 하동군 화개면(지리산),,,조계종 제13교구 본사,Y,삼신산 쌍계사 일주문,Y,금강문,Y,천왕문,Y,팔영루,Y,9층석탑·마애불,대웅전(보물500),명부전·나한전·팔상전·삼성각,미확인,화개계곡,미확인,벚꽃(봄),국가유산포털;쌍계사공식
7,경남,5,표충사,Pyochungsa Temple,미확인(밀양시 재약산),,,조계종 제15교구 통도사 말사,Y,표충사 일주문,?,,Y,사천왕문,Y,우화루(미확인),Y,삼층석탑(보물467),대광전,팔상전·대홍원전·명부전,미확인,재약산 진입,미확인,미확인,국가유산포털
8,전남,1,백련사(강진),Baengnyeonsa Temple (Gangjin),전남 강진군 도암면 백련사길 145,,,조계종 제22교구 대흥사 말사,?,,N,,?,,Y,만경루,?,,대웅보전(보물 2023),명부전·나한전·칠성각,미확인,다산초당 오솔길,미확인,동백(3~4월),국가유산포털;강진문화관광
8,전남,2,능가사,Neunggasa Temple,전남 고흥군 점암면 팔봉길 21,,,조계종 제21교구 송광사 말사,?,,?,,Y,사천왕문(목조사천왕상 보물2023),?,,?,,대웅전(보물1307),미확인,미확인,팔영산 등산로,미확인,미확인,국가유산청 보도자료
8,전남,3,흥국사(여수),Heungguksa Temple (Yeosu),전남 여수시 흥국사길(중흥동),,,조계종 제19교구 화엄사 말사,Y,흥국사 일주문,?,,Y,천왕문(소조사천왕상 보물2023),Y,봉황루,?,,대웅전(보물396),응진당·팔상전·불조전·무사전,미확인,영취산 진입,미확인,진달래(4월),국가유산포털;국가유산청 보도자료
8,전남,4,미황사,Mihwangsa Temple,전남 해남군 송지면 미황사길 164,,,조계종 제22교구 대흥사 말사,Y,미황사 일주문,?,,?,,Y,자하루,?,,대웅보전(보물947),응진당(보물1183)·명부전·삼성각,미확인,달마산 진입,미확인,미확인,국가유산포털
