region,site_name_ko,disambiguation,site_name_en,order,diocese,road_address,latitude,longitude,iljumun,iljumun_name,geumgangmun,geumgangmun_name,cheonwangmun,cheonwangmun_name,bulimun,bulimun_name,pagoda,pagoda_name,main_hall_name,annex_halls,parking_info,access_info,meal_available,heritage,walk_path,verse1_asset,flower_badge,viewpoint,sources
부산/경남,통도사 서운암,양산 통도사 산내암자,Seounam Hermitage (Tongdosa),대한불교조계종,제15교구 본사 통도사 산내암자,경상남도 양산시 하북면 통도사로 108(서운암),미확인,미확인,N,해당없음(암자),N,해당없음,N,해당없음,N,해당없음,?,미확인,미확인(서운암 법당),장경각·삼천불전,차량 접근 가능(통도사 경내),통도사 대웅전에서 1.5km 산길(차로 1.7km·도보 약 1시간),사찰음식·서운암 된장 판매,미확인,야생화 산책로(서운암 주변 20만㎡·야생화 100여 종),장독대 5000개(약된장·막장·고추장)·쪽염 천연염색,야생화(서운암 들꽃회 조성 봄 들꽃축제),미확인,http://www.atlasnews.co.kr/news/articleView.html?idxno=6841 · https://korean.visitkorea.or.kr
부산/경남,해인사,합천 가야산,Haeinsa,대한불교조계종,제12교구 본사(법보종찰),경상남도 합천군 가야면 해인사길 122,미확인,미확인,Y,일주문(홍하문),?,미확인,Y,봉황문(천왕문),Y,해탈문(불이문),Y,삼층석탑,대적광전,구광루·장경판전·명부전·국사단,사하촌 주차장,포장도로·유료 입장,사찰음식·템플스테이,국보 장경판전·국보 대장경판(고려대장경)·세계유산,일주문~해탈문 33계단 진입로·홍류동 계곡,계곡·사찰림,미확인,미확인,http://www.haeinsa.or.kr · https://www.heritage.go.kr
부산/경남,범어사,부산 금정산,Beomeosa,대한불교조계종,제14교구 본사(금정총림),부산광역시 금정구 범어사로 250,미확인,미확인,Y,조계문(보물 삼해탈문),?,미확인,Y,천왕문,Y,불이문,Y,삼층석탑(보물),대웅전(보물),보제루·비로전·미륵전·관음전·팔상전,주차장 있음,3단 산지가람 배치,사찰음식·템플스테이,국보 삼국유사·보물 대웅전·보물 조계문·보물 삼층석탑,경내 3단 참배로,사찰림·약수,미확인,미확인,https://ko.wikipedia.org/wiki/범어사 · https://www.cha.go.kr
부산/경남,내원정사,부산 서구 엄광산,Naewonjeongsa,대한불교조계종,직할교구 본사 조계사 말사,부산광역시 서구 엄광산로40번길 80,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,미확인,도심 접근 용이,사찰음식·템플스테이,미확인,미확인,미확인,미확인,미확인,https://korean.visitkorea.or.kr
부산/경남,선암사,부산 부산진구 백양산,Seonamsa (Busan),대한불교조계종,제14교구 본사 범어사 말사,부산광역시 부산진구 백양산로 138,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,Y,삼층석탑(고려 후기),대웅전,극락전·관음전·명부전·조사전·칠성각·산신각,미확인,선암사입구 정류장 하차 후 도보,휴식형 템플스테이,보물 선암사 청동북,경내~바람고개 트레킹숲길,약수·석축 동백나무,동백(봄),미확인,https://encykorea.aks.ac.kr/Article/E0078948
부산/경남,옥천사,고성 연화산,Okcheonsa,대한불교조계종,제13교구 본사 쌍계사 말사,경상남도 고성군 개천면 연화산1로 471-9,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,미확인,미확인,사찰음식·템플스테이,미확인,미확인,계곡·사찰림,미확인,미확인,https://encykorea.aks.ac.kr · https://korean.visitkorea.or.kr
부산/경남,성주사,창원 불모산,Seongjusa,대한불교조계종,제14교구 본사 범어사 말사,경상남도 창원시 성산구 곰절길 191,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(석가·아미타·약사),미확인,미확인,미확인,사찰음식,미확인,미확인,사찰림,미확인,미확인,디지털창원문화대전
부산/경남,문수암,산청,Munsuam,대한불교조계종,미확인,경상남도 산청군 시천면 마근담길 173-17,미확인,미확인,N,해당없음(암자),N,해당없음,N,해당없음,N,해당없음,?,미확인,미확인,미확인,미확인,마근담 소재,미확인,미확인,미확인,미확인,미확인,미확인,http://munsuam.org
부산/경남,용문사,남해 호구산,Yongmunsa (Namhae),대한불교조계종,제13교구 본사 쌍계사 말사,경상남도 남해군 이동면 용문사길 166-11,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(보물),미확인,미확인,미확인,사찰음식·템플스테이,보물 남해 용문사 대웅전,미확인,사찰림,미확인,미확인,https://encykorea.aks.ac.kr · 국가유산포털
부산/경남,용화사,통영 미륵산,Yonghwasa (Tongyeong),대한불교조계종,제13교구 본사 쌍계사 말사,경상남도 통영시 봉수로 107-82,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,보광전(경남 유형문화유산 아미타삼존),미확인,미확인,미륵산 자락,사찰음식,경남 유형문화유산 보광전,미륵산 등산로 연계,사찰림,미확인,미륵산 조망,국가유산포털
