siteId,name,roadAddress,coordPoint,qrLocationHint,parkingInfo,accessInfo,mealAvailable,description,descriptionEn,viewpoint1,viewpoint2,viewpoint3,badgeFlower,grade,source,checkedAt,note
990389,통도사 서운암,경상남도 양산시 하북면 통도사로 108(서운암),,,차량 접근 가능(통도사 경내) (2026-09 잠정),통도사 대웅전에서 1.5km 산길(차로 1.7km·도보 약 1시간) (2026-09 잠정),RESERVATION,,,,,,Y,잠정,http://www.atlasnews.co.kr/news/articleView.html?idxno=6841 · https://korean.visitkorea.or.kr,,암자(본사 통도사와 구분) · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·서운암 된장 판매 · 조사단계=2차조사 · 꽃절=야생화(서운암 들꽃회 조성 봄 들꽃축제) · 산책로=야생화 산책로(서운암 주변 20만㎡·야생화 100여 종) · 1구자산=장독대 5000개(약된장·막장·고추장)·쪽염 천연염색 · 영문명=Seounam Hermitage (Tongdosa)
990390,금수암,,,,,,TEMPLE_MEAL,,,,,,N,비공식,,,공양원문=사찰음식 특화(2011) · 조사단계=1차조사(v3.2) · 영문명=Geumsuam Temple
990391,다솔사,,,,,봉명산 진입 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산디지털서비스,,조사단계=1차조사(v3.2) · 주불전=적멸보궁(불상없음) · 영문명=Dasolsa Temple
990392,쌍계사,경남 하동군 화개면(지리산),,,,화개계곡,RESERVATION,,,,,,Y,확정,국가유산포털;쌍계사공식,,제13교구본사 · 조사단계=1차조사(v3.2) · 꽃절=벚꽃(봄) · 주불전=대웅전(보물500) · 영문명=Ssanggyesa Temple
990393,해인사,경상남도 합천군 가야면 해인사길 122,,,사하촌 주차장,포장도로·유료 입장,RESERVATION,,,,,,N,확정,http://www.haeinsa.or.kr · https://www.heritage.go.kr,,제12교구본사·v3.2 관람배지(티맵 8위) · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=국보 장경판전·국보 대장경판(고려대장경)·세계유산 · 산책로=일주문~해탈문 33계단 진입로·홍류동 계곡 · 1구자산=계곡·사찰림 · 주불전=대적광전 · 영문명=Haeinsa
990394,범어사,부산광역시 금정구 범어사로 250,,,주차장 있음 (2026-09 잠정),3단 산지가람 배치 (2026-09 잠정),RESERVATION,,,,,,N,잠정,https://ko.wikipedia.org/wiki/범어사 · https://www.cha.go.kr,,제14교구본사·v3.2 혼잡 우려 · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=국보 삼국유사·보물 대웅전·보물 조계문·보물 삼층석탑 · 산책로=경내 3단 참배로 · 1구자산=사찰림·약수 · 주불전=대웅전(보물) · 영문명=Beomeosa
990395,대원사(산청),경남 산청군 삼장면 대원사길 455,,,,유평계곡 (2026-09 잠정),RESERVATION,,,,,,N,잠정,위키;국가유산포털,,조사단계=1차조사(v3.2) · 주불전=대웅전 · 영문명=Daewonsa Temple (Sancheong)
990396,내원정사,부산광역시 서구 엄광산로40번길 80,,,,도심 접근 용이 (2026-09 잠정),RESERVATION,,,,,,N,잠정,https://korean.visitkorea.or.kr,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 주불전=대웅전 · 영문명=Naewonjeongsa
990397,선암사,부산광역시 부산진구 백양산로 138,,,,선암사입구 정류장 하차 후 도보 (2026-09 잠정),RESERVATION,,,,,,Y,잠정,https://encykorea.aks.ac.kr/Article/E0078948,,순천 선암사 아님 · 공양원문=휴식형 템플스테이 · 조사단계=2차조사 · 꽃절=동백(봄) · 국가유산=보물 선암사 청동북 · 산책로=경내~바람고개 트레킹숲길 · 1구자산=약수·석축 동백나무 · 주불전=대웅전 · 영문명=Seonamsa (Busan)
990398,옥천사,경상남도 고성군 개천면 연화산1로 471-9,,,,,RESERVATION,,,,,,N,확정,https://encykorea.aks.ac.kr · https://korean.visitkorea.or.kr,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 1구자산=계곡·사찰림 · 주불전=대웅전 · 영문명=Okcheonsa
990399,표충사,,,,,재약산 진입 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털,,조사단계=1차조사(v3.2) · 주불전=대광전 · 영문명=Pyochungsa Temple
990400,성주사,경상남도 창원시 성산구 곰절길 191,,,,,RESERVATION,,,,,,N,잠정,디지털창원문화대전,,공양원문=사찰음식 · 조사단계=2차조사 · 1구자산=사찰림 · 주불전=대웅전(석가·아미타·약사) · 영문명=Seongjusa
990401,문수암,경상남도 산청군 시천면 마근담길 173-17,,,,마근담 소재 (2026-09 잠정),RESERVATION,,,,,,N,잠정,http://munsuam.org,,조사단계=2차조사 · 영문명=Munsuam
990402,용문사(남해),경상남도 남해군 이동면 용문사길 166-11,,,,,RESERVATION,,,,,,N,확정,https://encykorea.aks.ac.kr · 국가유산포털,,예천·양평 용문사 아님 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 남해 용문사 대웅전 · 1구자산=사찰림 · 주불전=대웅전(보물) · 영문명=Yongmunsa (Namhae)
990403,홍법사,,,,,,RESERVATION,,,,,,N,비공식,,,조사단계=1차조사(v3.2) · 주불전=대웅전(추정) · 영문명=Hongbeopsa Temple
990404,용화사(통영),경상남도 통영시 봉수로 107-82,,,,미륵산 자락 (2026-09 잠정),RESERVATION,,,미륵산 조망||,,,N,잠정,국가유산포털,,청주 용화사 아님 · 공양원문=사찰음식 · 조사단계=2차조사 · 국가유산=경남 유형문화유산 보광전 · 산책로=미륵산 등산로 연계 · 1구자산=사찰림 · 주불전=보광전(경남 유형문화유산 아미타삼존) · 영문명=Yonghwasa (Tongyeong)
990405,용문사(예천),경북 예천군 용문면 용문사길 285-30,,,,소백산 등산로 (2026-09 잠정),RESERVATION,,,,,,N,잠정,위키;국가유산청,,조사단계=1차조사(v3.2) · 주불전=보광명전 · 영문명=Yongmunsa Temple (Yecheon)
990406,동화사,대구광역시 동구 팔공산로201길 41,,,주차장 있음,포장도로·팔공산,RESERVATION,,,,,,N,비공식,https://en.wikipedia.org/wiki/Donghwasa,,제9교구본사 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 다수(마애여래좌상 등) · 산책로=봉황문 진입로 · 1구자산=사찰림·계곡 · 주불전=대웅전 · 영문명=Donghwasa
990407,은해사,,,,,팔공산 등산로 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털;향토문화전자대전,,제10교구본사 · 조사단계=1차조사(v3.2) · 주불전=극락보전 · 영문명=Eunhaesa Temple
990408,봉정사,,,,,천등산 진입 (2026-09 잠정),RESERVATION,,,,,,N,잠정,나무위키;국가유산포털,,조사단계=1차조사(v3.2) · 주불전=대웅전(국보311) · 영문명=Bongjeongsa Temple
