region_code,site_name_ko,disambiguation,site_name_en,road_address,latitude,longitude,diocese,order,research_status,iljumun,iljumun_name,geumgangmun,geumgangmun_name,cheonwangmun,cheonwangmun_name,bulimun,bulimun_name,pagoda,pagoda_name,main_hall_name,annex_halls,parking_info,access_info,meal_available,flower_badge,heritage,walk_path,verse1_asset,viewpoint,sources,note
BUSAN_GYEONGNAM,통도사 서운암,양산 통도사 산내암자,Seounam Hermitage (Tongdosa),경상남도 양산시 하북면 통도사로 108(서운암),미확인,미확인,제15교구 본사 통도사 산내암자,대한불교조계종,2차조사,N,해당없음(암자),N,해당없음,N,해당없음,N,해당없음,?,미확인,미확인(서운암 법당),장경각·삼천불전,차량 접근 가능(통도사 경내) (2026-09 잠정),통도사 대웅전에서 1.5km 산길(차로 1.7km·도보 약 1시간) (2026-09 잠정),RESERVATION,야생화(서운암 들꽃회 조성 봄 들꽃축제),미확인,야생화 산책로(서운암 주변 20만㎡·야생화 100여 종),장독대 5000개(약된장·막장·고추장)·쪽염 천연염색,미확인,http://www.atlasnews.co.kr/news/articleView.html?idxno=6841 · https://korean.visitkorea.or.kr,암자(본사 통도사와 구분) · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·서운암 된장 판매
BUSAN_GYEONGNAM,금수암,산청,Geumsuam Temple,미확인(산청군),,,미확인,대한불교조계종,1차조사(v3.2),?,,?,,?,,?,,?,,미확인,미확인,미확인,미확인,TEMPLE_MEAL,,,,,,미확인(현장실사),공양원문=사찰음식 특화(2011)
BUSAN_GYEONGNAM,다솔사,사천 봉명산,Dasolsa Temple,미확인(사천시 봉명산),,,조계종 제15교구 통도사 말사,대한불교조계종,1차조사(v3.2),?,,N,,N,,Y,대양루,?,,적멸보궁(불상없음),응진전,미확인,봉명산 진입 (2026-09 잠정),RESERVATION,미확인,,,,,국가유산디지털서비스,
BUSAN_GYEONGNAM,쌍계사,하동 지리산,Ssanggyesa Temple,경남 하동군 화개면(지리산),,,조계종 제13교구 본사,대한불교조계종,1차조사(v3.2),Y,삼신산 쌍계사 일주문,Y,금강문,Y,천왕문,Y,팔영루,Y,9층석탑·마애불,대웅전(보물500),명부전·나한전·팔상전·삼성각,미확인,화개계곡,RESERVATION,벚꽃(봄),,,,,국가유산포털;쌍계사공식,제13교구본사
BUSAN_GYEONGNAM,해인사,합천 가야산,Haeinsa,경상남도 합천군 가야면 해인사길 122,미확인,미확인,제12교구 본사(법보종찰),대한불교조계종,2차조사,Y,일주문(홍하문),?,미확인,Y,봉황문(천왕문),Y,해탈문(불이문),Y,삼층석탑,대적광전,구광루·장경판전·명부전·국사단,사하촌 주차장,포장도로·유료 입장,RESERVATION,미확인,국보 장경판전·국보 대장경판(고려대장경)·세계유산,일주문~해탈문 33계단 진입로·홍류동 계곡,계곡·사찰림,미확인,http://www.haeinsa.or.kr · https://www.heritage.go.kr,제12교구본사·v3.2 관람배지(티맵 8위) · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·템플스테이
BUSAN_GYEONGNAM,범어사,부산 금정산,Beomeosa,부산광역시 금정구 범어사로 250,미확인,미확인,제14교구 본사(금정총림),대한불교조계종,2차조사,Y,조계문(보물 삼해탈문),?,미확인,Y,천왕문,Y,불이문,Y,삼층석탑(보물),대웅전(보물),보제루·비로전·미륵전·관음전·팔상전,주차장 있음 (2026-09 잠정),3단 산지가람 배치 (2026-09 잠정),RESERVATION,미확인,국보 삼국유사·보물 대웅전·보물 조계문·보물 삼층석탑,경내 3단 참배로,사찰림·약수,미확인,https://ko.wikipedia.org/wiki/범어사 · https://www.cha.go.kr,제14교구본사·v3.2 혼잡 우려 · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·템플스테이
BUSAN_GYEONGNAM,대원사,산청 지리산,Daewonsa Temple (Sancheong),경남 산청군 삼장면 대원사길 455,35.355,127.807,조계종 제12교구 해인사 말사,대한불교조계종,1차조사(v3.2),Y,대원사 일주문,N,,?,,Y,봉상루,Y,다층석탑(보물1112·8층),대웅전,천광전·원통보전·범종각·사리전,미확인,유평계곡 (2026-09 잠정),RESERVATION,미확인,,,,,위키;국가유산포털,
BUSAN_GYEONGNAM,내원정사,부산 서구 엄광산,Naewonjeongsa,부산광역시 서구 엄광산로40번길 80,미확인,미확인,직할교구 본사 조계사 말사,대한불교조계종,2차조사,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,미확인,도심 접근 용이 (2026-09 잠정),RESERVATION,미확인,미확인,미확인,미확인,미확인,https://korean.visitkorea.or.kr,공양원문=사찰음식·템플스테이
BUSAN_GYEONGNAM,선암사,부산 부산진구 백양산,Seonamsa (Busan),부산광역시 부산진구 백양산로 138,미확인,미확인,제14교구 본사 범어사 말사,대한불교조계종,2차조사,?,미확인,?,미확인,?,미확인,?,미확인,Y,삼층석탑(고려 후기),대웅전,극락전·관음전·명부전·조사전·칠성각·산신각,미확인,선암사입구 정류장 하차 후 도보 (2026-09 잠정),RESERVATION,동백(봄),보물 선암사 청동북,경내~바람고개 트레킹숲길,약수·석축 동백나무,미확인,https://encykorea.aks.ac.kr/Article/E0078948,순천 선암사 아님 · 공양원문=휴식형 템플스테이
BUSAN_GYEONGNAM,옥천사,고성 연화산,Okcheonsa,경상남도 고성군 개천면 연화산1로 471-9,미확인,미확인,제13교구 본사 쌍계사 말사,대한불교조계종,2차조사,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,미확인,미확인,RESERVATION,미확인,미확인,미확인,계곡·사찰림,미확인,https://encykorea.aks.ac.kr · https://korean.visitkorea.or.kr,공양원문=사찰음식·템플스테이
