region_code,region_name,line_code,line_name,verse_no,site_name,disambiguation,track,serving_note,sunroad_route,sunroad_star,note
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,1,통도사 서운암,양산 통도사 산내암자,MAIN,"장독 5,000개·성파 종정 약된장",,,암자(본사 통도사와 구분)
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,1,금수암,산청,MAIN,대안스님·특화사찰 1호,,,
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,1,다솔사,사천 봉명산,MAIN,효당스님 반야로 죽로차,,,
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,1,쌍계사,하동 지리산,MAIN,차 시배지,,,제13교구본사
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,2,해인사,합천 가야산,MAIN,법보종찰,,,제12교구본사·v3.2 관람배지(티맵 8위)
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,2,범어사,부산 금정산,MAIN,선찰대본산,,,제14교구본사·v3.2 혼잡 우려
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,2,대원사,산청 지리산,MAIN,비구니 선원·특화사찰,,,
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,3,내원정사,부산 서구 엄광산,MAIN,원도심 검박,,,
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,3,선암사,부산 부산진구 백양산,MAIN,—,,,순천 선암사 아님
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,3,옥천사,고성 연화산,MAIN,옥샘,,,
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,4,표충사,밀양 재약산,MAIN,얼음골 약수,,,
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,4,성주사,창원 불모산,MAIN,—,,,
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,4,문수암,산청,MAIN,—,,,
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,5,용문사,남해 호구산,MAIN,호국 승병,,,예천·양평 용문사 아님
BUSAN_GYEONGNAM,부산/경남,BUSAN_E,부산·동부,5,홍법사,부산 금정구 두구동,MAIN,국제포교 원력,,,
BUSAN_GYEONGNAM,부산/경남,GYEONGNAM_W,경남 서부,5,용화사,통영 미륵산,MAIN,미륵,,,청주 용화사 아님
DAEGU_GYEONGBUK,대구/경북,DAEGU_GYEONGBUK,대구/경북,1,용문사,예천 소백산,MAIN,특화사찰,,,
DAEGU_GYEONGBUK,대구/경북,DAEGU_GYEONGBUK,대구/경북,1,동화사,대구 팔공산,MAIN,특화사찰,,,제9교구본사
DAEGU_GYEONGBUK,대구/경북,DAEGU_GYEONGBUK,대구/경북,2,은해사,영천 팔공산,MAIN,—,,,제10교구본사
DAEGU_GYEONGBUK,대구/경북,DAEGU_GYEONGBUK,대구/경북,2,봉정사,안동 천등산,MAIN,최고 목조건축,,,
DAEGU_GYEONGBUK,대구/경북,DAEGU_GYEONGBUK,대구/경북,2,축서사,봉화 문수산,MAIN,—,,,
